loan_id,customer_id,branch_id,loan_type,loan_amount,approved_amount,outstanding_balance,interest_rate,term_months,start_date,end_date,monthly_payment,loan_status,collateral_type,purpose,days_past_due,num_missed_payments,credit_score_at_origination,approved_by
LOAN000001,CUST001607,BR025,Mortgage,44690.03,42368.52,14292.08,2.922,36.0,99/99/9999,19-07-25,"$1,241.39",Delinquent,None,Wedding,168.0,23.0,723.0,Timothy Maldonado
LOAN000002,CUST004642,BR005,auto,27190.36,25718.8,9438.79,17.002,36.0,2017-08-19,2020-08-03,755.29,Delinquent,None,Education,213.0,7.0,350.0,Susan Maxwell
LOAN000003,CUST000189,BR016,Home Equity,38705.45,35777.14,,14.366,48.0,2010-10-03,2014-09-12,806.36,delinquent,none,Business expansion,300.0,19.0,597.0,Mary Berry
LOAN000004,CUST001486,BR046,Auto,62393.98,60171.43,56851.39,15.161,12.0,06-07-2012,01/07/2013,5199.5,Active,Vehicle,Business expansion,0.0,0.0,540.0,Alicia Gamble
LOAN000005,CUST002478,BR040,Student,23367.38,20771.85,14905.84,,24.0,99/99/9999,17-12-2013,973.64,PAID OFF,None,Travel,0.0,,493.0,Pedro Francis
LOAN000006,CUST003141,BR005,Business,13662.18,13448.08,8213.5,7.95,48.0,"December 16, 2010",25/11/2014,"284,63",PAID OFF,N/A,Vehicle purchase,0.0,0.0,769.0,Molly Higgins
LOAN000007,CUST004528,BR005,student,44565.16,40310.05,3012460.0,,36.0,29/08/2022,13-08-2025,1237.92,Paid Off,Property,Business expansion,0.0,0.0,599.0,Mindy Hernandez
LOAN000008,CUST000316,,Personal,64550.66,55656.89,37850.88,6.294,24.0,03-08-2015,23/07/2017,2689.61,Active,property,Medical,,0.0,334.0,Elizabeth Klein
LOAN000009,CUST000900,,Auto,22973.34,22490.48,4410.41,10.504,36.0,2012-02-24,2015-02-08,638.15,Late,PROPERTY,Wedding,211.0,8.0,381.0,Brian Kidd
LOAN000010,CUST003534,BR027,Student,42492.48,40261.59,29363.06,3.377,24.0,30/01/2020,19-01-2022,1770.52,Completed,PROPERTY,Business expansion,0.0,,618.0,Brian Mitchell
LOAN000011,CUST001244,BR004,Business,1320.86,"$1,205.65",1257.44,14.595,,2011-02-08,2040-09-03,3.67,Delinquent,Savings,Wedding,77.0,16.0,659.0,David Carson
LOAN000012,CUST002737,BR041,Student,18049.76,"$17,686.84",4388.38,,120.0,"June 21, 2016",26-04-30,150.41,In Progress,PROPERTY,Home improvement,0.0,,581.0,Angel Stevens
