transaction_id,account_id,transaction_type,amount,currency,transaction_date,transaction_timestamp,merchant_name,merchant_category,description,balance_after,channel,status,ip_address,device_type
TXN00000001,,Deposit,286.23,usd,31-03-2021,2021-03-31 00:00:00,7-Eleven,Travel,Overdraft fee,19848.52,online,COMPLETED,167.62.27.104,Desktop
TXN00000002,ACC9517038,Withdrawal,151.63,USD,2018-05-03,2018-05-03 00:00:00,,RETAIL,Monthly maintenance fee,19467.74,Branch,COMPLETED,22.240.222.203,MOBILE
TXN00000003,ACC9929282,Deposit,14.01,USD,2020-05-23,2020-05-23 00:00:00,Costco,Other,Peer transfer,-81.24,Online,Failed,136.249.188.125,Tablet
TXN00000004,ACC5162858,Transfer,91.87,GBP,99/99/9999,2018-01-31 00:00:00,Stripe,Entertainment,Wire transfer,9531.31,ATM,Completed,131.102.37.226,Desktop
TXN00000005,ACC7602809,ATM Withdrawal,432.41,USD,2019/05/14,2019-05-14 00:00:00,,Entertainment,Check deposit,5384.67,ONLINE,NULL,188.89.249.4,MOBILE
TXN00000006,ACC4454016,Withdrawal,281.49,USD,2022-08-10,2022-08-10 00:00:00,Target,Entertainment,Check deposit,,ATM,pending,,ATM
TXN00000007,ACC6609778,Purchase,78.09,USD,2021/06/07,2021-06-07 00:00:00,7-Eleven,Utilities,Subscription,49149.39,,Completed,,Mobile
TXN00000008,ACC5434720,Purchase,556.72,USD,02/04/2022,2022-02-04 00:00:00,Bank of America ATM,Entertainment,,3483.32,Branch,completed,80.176.75.239,ATM
TXN00000009,ACC2447794,Transfer,15.94,USD,21-09-2022,2022-09-21 00:00:00,,,Monthly maintenance fee,41689.23,online,pending,27.205.25.56,Desktop
TXN00000010,ACC3244935,Interest,650.05,USD,24-05-2019,2019-05-24 00:00:00,,Utilities,,46675.68,online,Reversed,35.227.254.124,ATM
TXN00000011,ACC3242188,Deposit,$56.39,GBP,2023/01/24,2023-01-24 00:00:00,,Entertainment,Monthly maintenance fee,39247.76,online,Completed,171.193.203.213,Mobile
TXN00000012,ACC9748411,Interest,,USD,2019/12/14,2019-12-14 00:00:00,Spotify,Retail,Check deposit,27463.81,ATM,Completed,108.142.35.84,Mobile
TXN00000013,ACC1791078,purchse,,EUR,06/22/2020,2020-06-22 00:00:00,Zara,Other,,"$35,528.18",Branch,COMPLETED,25.94.220.78,mobile
TXN00000014,ACC6388011,Deposit,88.94,USD,09/11/2018,2018-09-11 00:00:00,,Other,Bill payment,46018.91,ATM,Reversed,29.101.120.122,Desktop
TXN00000015,ACC1966212,Deposit,154.91,USD,2022-04-17,2022-04-17 00:00:00,,Utilities,Wire transfer,"$2,746.30",ONLINE,Pending,132.172.180.62,mobile
